Size (d.nm) - Sample 1 [Steady state] test1;Intensity (Percent) - Sample 1 [Steady state] test1;Size (d.nm) - Sample 1 [Steady state] test2;Intensity (Percent) - Sample 1 [Steady state] test2;Size (d.nm) - Sample 1 [Steady state] test3;Intensity (Percent) - Sample 1 [Steady state] test3;;Time (µs) - Sample 1 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 1 [Steady state] test1;Time (µs) - Sample 1 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 1 [Steady state] test2;Time (µs) - Sample 1 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 1 [Steady state] test3;;Size (d.nm) - Sample 1 [Steady state] test1;Volume (Percent) - Sample 1 [Steady state] test1;Size (d.nm) - Sample 1 [Steady state] test2;Volume (Percent) - Sample 1 [Steady state] test2;Size (d.nm) - Sample 1 [Steady state] test3;Volume (Percent) - Sample 1 [Steady state] test3;;Size (d.nm) - Sample 1 [Steady state] test1;Number (Percent) - Sample 1 [Steady state] test1;Size (d.nm) - Sample 1 [Steady state] test2;Number (Percent) - Sample 1 [Steady state] test2;Size (d.nm) - Sample 1 [Steady state] test3;Number (Percent) - Sample 1 [Steady state] test3
;;;;;;;460,8;0,1641;460,8;0,223;460,8;0,1318;;;;;;;;;;;;;;
;;;;;;;486,4;0,1611;486,4;0,2204;486,4;0,1307;;;;;;;;;;;;;;
;;;;;;;512;0,1582;512;0,2181;512;0,1297;;;;;;;;;;;;;;
;;;;;;;537,6;0,1556;537,6;0,2158;537,6;0,1287;;;;;;;;;;;;;;
;;;;;;;563,2;0,1531;563,2;0,2136;563,2;0,1277;;;;;;;;;;;;;;
;;;;;;;588,8;0,1508;588,8;0,2117;588,8;0,1269;;;;;;;;;;;;;;
;;;;;;;614,4;0,1488;614,4;0,21;614,4;0,1261;;;;;;;;;;;;;;
;;;;;;;640;0,147;640;0,2084;640;0,1254;;;;;;;;;;;;;;
;;;;;;;665,6;0,1454;665,6;0,2069;665,6;0,1247;;;;;;;;;;;;;;
;;;;;;;691,2;0,1437;691,2;0,2054;691,2;0,124;;;;;;;;;;;;;;
;;;;;;;716,8;0,1419;716,8;0,204;716,8;0,1233;;;;;;;;;;;;;;
;;;;;;;742,4;0,1401;742,4;0,2027;742,4;0,1227;;;;;;;;;;;;;;
;;;;;;;768;0,1386;768;0,2014;768;0,1222;;;;;;;;;;;;;;
;;;;;;;793,6;0,1373;793,6;0,2002;793,6;0,1217;;;;;;;;;;;;;;
;;;;;;;819,2;0,1362;819,2;0,1991;819,2;0,1212;;;;;;;;;;;;;;
;;;;;;;870,4;0,1338;870,4;0,197;870,4;0,1203;;;;;;;;;;;;;;
;;;;;;;921,6;0,1317;921,6;0,195;921,6;0,1194;;;;;;;;;;;;;;
;;;;;;;972,8;0,1297;972,8;0,1933;972,8;0,1186;;;;;;;;;;;;;;
;;;;;;;1024;0,1281;1024;0,1916;1024;0,1178;;;;;;;;;;;;;;
;;;;;;;1075;0,1267;1075;0,1901;1075;0,117;;;;;;;;;;;;;;
;;;;;;;1126;0,1254;1126;0,1888;1126;0,1162;;;;;;;;;;;;;;
;;;;;;;1178;0,124;1178;0,1875;1178;0,1155;;;;;;;;;;;;;;
;;;;;;;1229;0,1228;1229;0,1863;1229;0,1149;;;;;;;;;;;;;;
;;;;;;;1280;0,1217;1280;0,185;1280;0,1144;;;;;;;;;;;;;;
;;;;;;;1331;0,1208;1331;0,1839;1331;0,114;;;;;;;;;;;;;;
;;;;;;;1382;0,1197;1382;0,1827;1382;0,1135;;;;;;;;;;;;;;
;;;;;;;1434;0,1186;1434;0,1817;1434;0,1131;;;;;;;;;;;;;;
;;;;;;;1485;0,1175;1485;0,1807;1485;0,1126;;;;;;;;;;;;;;
;;;;;;;1536;0,1168;1536;0,1799;1536;0,1122;;;;;;;;;;;;;;
;;;;;;;1587;0,1162;1587;0,1792;1587;0,1117;;;;;;;;;;;;;;
;;;;;;;1638;0,1158;1638;0,1785;1638;0,1113;;;;;;;;;;;;;;
;;;;;;;1741;0,1147;1741;0,1771;1741;0,1105;;;;;;;;;;;;;;
;;;;;;;1843;0,1132;1843;0,1757;1843;0,1098;;;;;;;;;;;;;;
;;;;;;;1946;0,1117;1946;0,1742;1946;0,1091;;;;;;;;;;;;;;
;;;;;;;2048;0,1102;2048;0,1729;2048;0,1083;;;;;;;;;;;;;;
;;;;;;;2150;0,109;2150;0,1714;2150;0,1077;;;;;;;;;;;;;;
;;;;;;;2253;0,1078;2253;0,17;2253;0,1072;;;;;;;;;;;;;;
;;;;;;;2355;0,1067;2355;0,1685;2355;0,1067;;;;;;;;;;;;;;
;;;;;;;2458;0,1054;2458;0,1673;2458;0,106;;;;;;;;;;;;;;
;;;;;;;2560;0,1043;2560;0,1662;2560;0,1053;;;;;;;;;;;;;;
;;;;;;;2662;0,1032;2662;0,1651;2662;0,1045;;;;;;;;;;;;;;
;;;;;;;2765;0,102;2765;0,1639;2765;0,1038;;;;;;;;;;;;;;
;;;;;;;2867;0,1007;2867;0,1625;2867;0,1029;;;;;;;;;;;;;;
;;;;;;;2970;0,09942;2970;0,1608;2970;0,1022;;;;;;;;;;;;;;
;;;;;;;3072;0,09819;3072;0,1592;3072;0,1014;;;;;;;;;;;;;;
;;;;;;;3174;0,09675;3174;0,1578;3174;0,1006;;;;;;;;;;;;;;
;;;;;;;3277;0,09533;3277;0,1565;3277;0,09982;;;;;;;;;;;;;;
;;;;;;;3482;0,0921;3482;0,154;3482;0,09823;;;;;;;;;;;;;;
;;;;;;;3686;0,0889;3686;0,1515;3686;0,09666;;;;;;;;;;;;;;
;;;;;;;3891;0,08577;3891;0,149;3891;0,09499;;;;;;;;;;;;;;
;;;;;;;4096;0,08299;4096;0,1465;4096;0,09334;;;;;;;;;;;;;;
;;;;;;;4301;0,08035;4301;0,1441;4301;0,09171;;;;;;;;;;;;;;
;;;;;;;4506;0,07775;4506;0,1416;4506;0,09019;;;;;;;;;;;;;;
;;;;;;;4710;0,0752;4710;0,1393;4710;0,08869;;;;;;;;;;;;;;
;;;;;;;4915;0,07267;4915;0,137;4915;0,08721;;;;;;;;;;;;;;
;;;;;;;5120;0,07036;5120;0,1347;5120;0,08572;;;;;;;;;;;;;;
;;;;;;;5325;0,0683;5325;0,1324;5325;0,08431;;;;;;;;;;;;;;
;;;;;;;5530;0,06658;5530;0,1298;5530;0,08295;;;;;;;;;;;;;;
;;;;;;;5734;0,06504;5734;0,1272;5734;0,08165;;;;;;;;;;;;;;
;;;;;;;5939;0,06348;5939;0,1245;5939;0,08042;;;;;;;;;;;;;;
;;;;;;;6144;0,06203;6144;0,1222;6144;0,07921;;;;;;;;;;;;;;
;;;;;;;6349;0,06049;6349;0,1201;6349;0,07806;;;;;;;;;;;;;;
;;;;;;;6554;0,05893;6554;0,1183;6554;0,07684;;;;;;;;;;;;;;
;;;;;;;6963;0,05585;6963;0,1149;6963;0,07448;;;;;;;;;;;;;;
;;;;;;;7373;0,05323;7373;0,1116;7373;0,07231;;;;;;;;;;;;;;
;;;;;;;7782;0,05114;7782;0,1086;7782;0,07029;;;;;;;;;;;;;;
;;;;;;;8192;0,04946;8192;0,1056;8192;0,06825;;;;;;;;;;;;;;
;;;;;;;8602;0,04815;8602;0,1031;8602;0,06628;;;;;;;;;;;;;;
;;;;;;;9011;0,04766;9011;0,1011;9011;0,06458;;;;;;;;;;;;;;
;;;;;;;9421;0,04775;9421;0,09953;9421;0,06325;;;;;;;;;;;;;;
;;;;;;;9830;0,04826;9830;0,09807;9830;0,06216;;;;;;;;;;;;;;
;;;;;;;1,02E+04;0,04844;1,02E+04;0,09667;1,02E+04;0,06128;;;;;;;;;;;;;;
;;;;;;;1,07E+04;0,0484;1,07E+04;0,09557;1,07E+04;0,06054;;;;;;;;;;;;;;
;;;;;;;1,11E+04;0,04788;1,11E+04;0,09487;1,11E+04;0,05978;;;;;;;;;;;;;;
;;;;;;;1,15E+04;0,04737;1,15E+04;0,09445;1,15E+04;0,059;;;;;;;;;;;;;;
;;;;;;;1,19E+04;0,04671;1,19E+04;0,094;1,19E+04;0,05824;;;;;;;;;;;;;;
;;;;;;;1,23E+04;0,04661;1,23E+04;0,09329;1,23E+04;0,05748;;;;;;;;;;;;;;
;;;;;;;1,27E+04;0,04658;1,27E+04;0,09247;1,27E+04;0,05683;;;;;;;;;;;;;;
;;;;;;;1,31E+04;0,04662;1,31E+04;0,09201;1,31E+04;0,05628;;;;;;;;;;;;;;
;;;;;;;1,39E+04;0,04567;1,39E+04;0,09162;1,39E+04;0,05553;;;;;;;;;;;;;;
;;;;;;;1,48E+04;0,04421;1,48E+04;0,09113;1,48E+04;0,05485;;;;;;;;;;;;;;
;;;;;;;1,56E+04;0,04223;1,56E+04;0,0904;1,56E+04;0,05427;;;;;;;;;;;;;;
;;;;;;;1,64E+04;0,04032;1,64E+04;0,08913;1,64E+04;0,05373;;;;;;;;;;;;;;
;;;;;;;1,72E+04;0,03808;1,72E+04;0,08742;1,72E+04;0,05302;;;;;;;;;;;;;;
;;;;;;;1,80E+04;0,03597;1,80E+04;0,08523;1,80E+04;0,05218;;;;;;;;;;;;;;
;;;;;;;1,88E+04;0,03374;1,88E+04;0,08259;1,88E+04;0,05123;;;;;;;;;;;;;;
;;;;;;;1,97E+04;0,03222;1,97E+04;0,08026;1,97E+04;0,05022;;;;;;;;;;;;;;
;;;;;;;2,05E+04;0,03099;2,05E+04;0,07792;2,05E+04;0,04912;;;;;;;;;;;;;;
;;;;;;;2,13E+04;0,0299;2,13E+04;0,07548;2,13E+04;0,04782;;;;;;;;;;;;;;
;;;;;;;2,21E+04;0,02886;2,21E+04;0,07278;2,21E+04;0,04643;;;;;;;;;;;;;;
;;;;;;;2,29E+04;0,02805;2,29E+04;0,06991;2,29E+04;0,04487;;;;;;;;;;;;;;
;;;;;;;2,38E+04;0,02742;2,38E+04;0,0673;2,38E+04;0,04342;;;;;;;;;;;;;;
;;;;;;;2,46E+04;0,02659;2,46E+04;0,06512;2,46E+04;0,04205;;;;;;;;;;;;;;
;;;;;;;2,54E+04;0,02564;2,54E+04;0,06326;2,54E+04;0,04068;;;;;;;;;;;;;;
;;;;;;;2,62E+04;0,02489;2,62E+04;0,06186;2,62E+04;0,0392;;;;;;;;;;;;;;
;;;;;;;2,79E+04;0,02366;2,79E+04;0,05858;2,79E+04;0,0364;;;;;;;;;;;;;;
;;;;;;;2,95E+04;0,02232;2,95E+04;0,05541;2,95E+04;0,03403;;;;;;;;;;;;;;
;;;;;;;3,11E+04;0,02059;3,11E+04;0,05221;3,11E+04;0,03196;;;;;;;;;;;;;;
;;;;;;;3,28E+04;0,01941;3,28E+04;0,04953;3,28E+04;0,03009;;;;;;;;;;;;;;
;;;;;;;3,44E+04;0,01822;3,44E+04;0,04679;3,44E+04;0,0282;;;;;;;;;;;;;;
;;;;;;;3,60E+04;0,01734;3,60E+04;0,04423;3,60E+04;0,02646;;;;;;;;;;;;;;
;;;;;;;3,77E+04;0,01649;3,77E+04;0,04171;3,77E+04;0,0248;;;;;;;;;;;;;;
;;;;;;;3,93E+04;0,01588;3,93E+04;0,03902;3,93E+04;0,02338;;;;;;;;;;;;;;
;;;;;;;4,10E+04;0,01557;4,10E+04;0,0362;4,10E+04;0,02216;;;;;;;;;;;;;;
;;;;;;;4,26E+04;0,01505;4,26E+04;0,03339;4,26E+04;0,02116;;;;;;;;;;;;;;
;;;;;;;4,42E+04;0,01451;4,42E+04;0,0309;4,42E+04;0,02052;;;;;;;;;;;;;;
;;;;;;;4,59E+04;0,01344;4,59E+04;0,02896;4,59E+04;0,02012;;;;;;;;;;;;;;
;;;;;;;4,75E+04;0,01236;4,75E+04;0,02714;4,75E+04;0,01976;;;;;;;;;;;;;;
;;;;;;;4,92E+04;0,0114;4,92E+04;0,02563;4,92E+04;0,01941;;;;;;;;;;;;;;
;;;;;;;5,08E+04;0,01101;5,08E+04;0,0239;5,08E+04;0,01921;;;;;;;;;;;;;;
;;;;;;;5,24E+04;0,01092;5,24E+04;0,02251;5,24E+04;0,01915;;;;;;;;;;;;;;
;;;;;;;5,57E+04;0,01122;5,57E+04;0,02011;5,57E+04;0,01886;;;;;;;;;;;;;;
;;;;;;;5,90E+04;0,01105;5,90E+04;0,01801;5,90E+04;0,01844;;;;;;;;;;;;;;
;;;;;;;6,23E+04;0,01037;6,23E+04;0,01616;6,23E+04;0,01805;;;;;;;;;;;;;;
;;;;;;;6,55E+04;0,00953;6,55E+04;0,0144;6,55E+04;0,01783;;;;;;;;;;;;;;
;;;;;;;6,88E+04;0,009362;6,88E+04;0,01338;6,88E+04;0,01735;;;;;;;;;;;;;;
;;;;;;;7,21E+04;0,009844;7,21E+04;0,01324;7,21E+04;0,01673;;;;;;;;;;;;;;
;;;;;;;7,54E+04;0,01032;7,54E+04;0,01418;7,54E+04;0,01603;;;;;;;;;;;;;;
;;;;;;;7,86E+04;0,01093;7,86E+04;0,01528;7,86E+04;0,0156;;;;;;;;;;;;;;
;;;;;;;8,19E+04;0,01102;8,19E+04;0,01616;8,19E+04;0,0153;;;;;;;;;;;;;;
;;;;;;;8,52E+04;0,01109;8,52E+04;0,01672;8,52E+04;0,01531;;;;;;;;;;;;;;
;;;;;;;8,85E+04;0,01082;8,85E+04;0,01719;8,85E+04;0,01571;;;;;;;;;;;;;;
;;;;;;;9,18E+04;0,0108;9,18E+04;0,01778;9,18E+04;0,01633;;;;;;;;;;;;;;
;;;;;;;9,50E+04;0,01103;9,50E+04;0,01867;9,50E+04;0,01708;;;;;;;;;;;;;;
;;;;;;;9,83E+04;0,01136;9,83E+04;0,02016;9,83E+04;0,01781;;;;;;;;;;;;;;
;;;;;;;1,02E+05;0,01203;1,02E+05;0,02209;1,02E+05;0,01867;;;;;;;;;;;;;;
;;;;;;;1,05E+05;0,01242;1,05E+05;0,02443;1,05E+05;0,0195;;;;;;;;;;;;;;
;;;;;;;1,11E+05;0,01282;1,11E+05;0,02921;1,11E+05;0,02153;;;;;;;;;;;;;;
;;;;;;;1,18E+05;0,01316;1,18E+05;0,03297;1,18E+05;0,02372;;;;;;;;;;;;;;
;;;;;;;1,25E+05;0,01362;1,25E+05;0,0354;1,25E+05;0,02512;;;;;;;;;;;;;;
;;;;;;;1,31E+05;0,01421;1,31E+05;0,03611;1,31E+05;0,02529;;;;;;;;;;;;;;
;;;;;;;1,38E+05;0,01389;1,38E+05;0,03617;1,38E+05;0,02478;;;;;;;;;;;;;;
;;;;;;;1,44E+05;0,01304;1,44E+05;0,03519;1,44E+05;0,0245;;;;;;;;;;;;;;
;;;;;;;1,51E+05;0,01243;1,51E+05;0,03386;1,51E+05;0,0245;;;;;;;;;;;;;;
;;;;;;;1,57E+05;0,01239;1,57E+05;0,03188;1,57E+05;0,02416;;;;;;;;;;;;;;
;;;;;;;1,64E+05;0,01249;1,64E+05;0,0302;1,64E+05;0,02354;;;;;;;;;;;;;;
;;;;;;;1,70E+05;0,01183;1,70E+05;0,02832;1,70E+05;0,02276;;;;;;;;;;;;;;
;;;;;;;1,77E+05;0,01092;1,77E+05;0,02587;1,77E+05;0,02142;;;;;;;;;;;;;;
;;;;;;;1,84E+05;0,009953;1,84E+05;0,02292;1,84E+05;0,01994;;;;;;;;;;;;;;
;;;;;;;1,90E+05;0,009437;1,90E+05;0,02052;1,90E+05;0,0185;;;;;;;;;;;;;;
;;;;;;;1,97E+05;0,009161;1,97E+05;0,01916;1,97E+05;0,01763;;;;;;;;;;;;;;
;;;;;;;2,03E+05;0,009385;2,03E+05;0,01855;2,03E+05;0,01702;;;;;;;;;;;;;;
;;;;;;;2,10E+05;0,009637;2,10E+05;0,01772;2,10E+05;0,01671;;;;;;;;;;;;;;
;;;;;;;2,23E+05;0,01056;2,23E+05;0,01627;2,23E+05;0,01653;;;;;;;;;;;;;;
;;;;;;;2,36E+05;0,01145;2,36E+05;0,01457;2,36E+05;0,01645;;;;;;;;;;;;;;
;;;;;;;2,49E+05;0,01166;2,49E+05;0,01282;2,49E+05;0,01577;;;;;;;;;;;;;;
;;;;;;;2,62E+05;0,01138;2,62E+05;0,01171;2,62E+05;0,01485;;;;;;;;;;;;;;
;;;;;;;2,75E+05;0,01125;2,75E+05;0,0116;2,75E+05;0,01397;;;;;;;;;;;;;;
;;;;;;;2,88E+05;0,01196;2,88E+05;0,01249;2,88E+05;0,01417;;;;;;;;;;;;;;
;;;;;;;3,02E+05;0,0126;3,02E+05;0,0145;3,02E+05;0,0161;;;;;;;;;;;;;;
;;;;;;;3,15E+05;0,01309;3,15E+05;0,01866;3,15E+05;0,01928;;;;;;;;;;;;;;
;;;;;;;3,28E+05;0,01341;3,28E+05;0,02325;3,28E+05;0,02251;;;;;;;;;;;;;;
;;;;;;;3,41E+05;0,01383;3,41E+05;0,02718;3,41E+05;0,02398;;;;;;;;;;;;;;
;;;;;;;3,54E+05;0,01325;3,54E+05;0,0268;3,54E+05;0,02303;;;;;;;;;;;;;;
;;;;;;;3,67E+05;0,01247;3,67E+05;0,02436;3,67E+05;0,02001;;;;;;;;;;;;;;
;;;;;;;3,80E+05;0,01166;3,80E+05;0,0198;3,80E+05;0,01654;;;;;;;;;;;;;;
;;;;;;;3,93E+05;0,01159;3,93E+05;0,0164;3,93E+05;0,01393;;;;;;;;;;;;;;
;;;;;;;4,06E+05;0,01218;4,06E+05;0,01379;4,06E+05;0,01278;;;;;;;;;;;;;;
;;;;;;;4,19E+05;0,01254;4,19E+05;0,01313;4,19E+05;0,01309;;;;;;;;;;;;;;
;;;;;;;4,46E+05;0,01311;4,46E+05;0,01486;4,46E+05;0,01613;;;;;;;;;;;;;;
;;;;;;;4,72E+05;0,01343;4,72E+05;0,01851;4,72E+05;0,01941;;;;;;;;;;;;;;
;;;;;;;4,98E+05;0,01364;4,98E+05;0,02065;4,98E+05;0,02081;;;;;;;;;;;;;;
;;;;;;;5,24E+05;0,01393;5,24E+05;0,02023;5,24E+05;0,01927;;;;;;;;;;;;;;
;;;;;;;5,51E+05;0,0138;5,51E+05;0,01816;5,51E+05;0,0171;;;;;;;;;;;;;;
;;;;;;;5,77E+05;0,01365;5,77E+05;0,01663;5,77E+05;0,01582;;;;;;;;;;;;;;
;;;;;;;6,03E+05;0,01331;6,03E+05;0,0164;6,03E+05;0,01633;;;;;;;;;;;;;;
;;;;;;;6,29E+05;0,01241;6,29E+05;0,0177;6,29E+05;0,01859;;;;;;;;;;;;;;
;;;;;;;6,55E+05;0,01209;6,55E+05;0,02181;6,55E+05;0,022;;;;;;;;;;;;;;
;;;;;;;6,82E+05;0,01201;6,82E+05;0,0249;6,82E+05;0,02393;;;;;;;;;;;;;;
;;;;;;;7,08E+05;0,01218;7,08E+05;0,02445;7,08E+05;0,02236;;;;;;;;;;;;;;
;;;;;;;7,34E+05;0,01219;7,34E+05;0,02106;7,34E+05;0,0195;;;;;;;;;;;;;;
;;;;;;;7,60E+05;0,01248;7,60E+05;0,01919;7,60E+05;0,01848;;;;;;;;;;;;;;
;;;;;;;7,86E+05;0,01295;7,86E+05;0,02244;7,86E+05;0,02047;;;;;;;;;;;;;;
;;;;;;;8,13E+05;0,01332;8,13E+05;0,02717;8,13E+05;0,02333;;;;;;;;;;;;;;
;;;;;;;8,39E+05;0,01315;8,39E+05;0,02903;8,39E+05;0,02376;;;;;;;;;;;;;;
;;;;;;;8,91E+05;0,01313;8,91E+05;0,02649;8,91E+05;0,02162;;;;;;;;;;;;;;
;;;;;;;9,44E+05;0,01278;9,44E+05;0,02399;9,44E+05;0,01964;;;;;;;;;;;;;;
;;;;;;;9,96E+05;0,01263;9,96E+05;0,02326;9,96E+05;0,01942;;;;;;;;;;;;;;
;;;;;;;1,05E+06;0,01202;1,05E+06;0,02224;1,05E+06;0,01862;;;;;;;;;;;;;;
;;;;;;;1,10E+06;0,01146;1,10E+06;0,02146;1,10E+06;0,01784;;;;;;;;;;;;;;
;;;;;;;1,15E+06;0,01063;1,15E+06;0,02124;1,15E+06;0,01747;;;;;;;;;;;;;;
;;;;;;;1,21E+06;0,01004;1,21E+06;0,02018;1,21E+06;0,01734;;;;;;;;;;;;;;
;;;;;;;1,26E+06;0,009692;1,26E+06;0,01851;1,26E+06;0,01729;;;;;;;;;;;;;;
;;;;;;;1,31E+06;0,009233;1,31E+06;0,01686;1,31E+06;0,01723;;;;;;;;;;;;;;
;;;;;;;1,36E+06;0,00855;1,36E+06;0,01539;1,36E+06;0,01666;;;;;;;;;;;;;;
;;;;;;;1,42E+06;0,007199;1,42E+06;0,01391;1,42E+06;0,01532;;;;;;;;;;;;;;
;;;;;;;1,47E+06;0,006077;1,47E+06;0,01329;1,47E+06;0,01279;;;;;;;;;;;;;;
;;;;;;;1,52E+06;0,0049;1,52E+06;0,01233;1,52E+06;0,009817;;;;;;;;;;;;;;
;;;;;;;1,57E+06;0,004138;1,57E+06;0,009936;1,57E+06;0,006059;;;;;;;;;;;;;;
;;;;;;;1,63E+06;0,002419;1,63E+06;0,005225;1,63E+06;0,002704;;;;;;;;;;;;;;
;;;;;;;1,68E+06;0,00151;1,68E+06;0,002285;1,68E+06;0,001115;;;;;;;;;;;;;;
;;;;;;;1,78E+06;0;1,78E+06;0;1,78E+06;0;;;;;;;;;;;;;;
;;;;;;;1,89E+06;0;1,89E+06;0;1,89E+06;0;;;;;;;;;;;;;;
;;;;;;;1,99E+06;0;1,99E+06;0;1,99E+06;0;;;;;;;;;;;;;;
;;;;;;;2,10E+06;0;2,10E+06;0;2,10E+06;0;;;;;;;;;;;;;;
;;;;;;;2,20E+06;0;2,20E+06;0;2,20E+06;0;;;;;;;;;;;;;;
;;;;;;;2,31E+06;0;2,31E+06;0;2,31E+06;0;;;;;;;;;;;;;;
;;;;;;;2,41E+06;0;2,41E+06;0;2,41E+06;0;;;;;;;;;;;;;;
;;;;;;;2,52E+06;0;2,52E+06;0;2,52E+06;0;;;;;;;;;;;;;;
;;;;;;;2,62E+06;0;2,62E+06;0;2,62E+06;0;;;;;;;;;;;;;;
;;;;;;;2,73E+06;0;2,73E+06;0;2,73E+06;0;;;;;;;;;;;;;;
;;;;;;;2,83E+06;0;2,83E+06;0;2,83E+06;0;;;;;;;;;;;;;;
;;;;;;;2,94E+06;0;2,94E+06;0;2,94E+06;0;;;;;;;;;;;;;;
;;;;;;;3,04E+06;0;3,04E+06;0;3,04E+06;0;;;;;;;;;;;;;;
;;;;;;;3,15E+06;0;3,15E+06;0;3,15E+06;0;;;;;;;;;;;;;;
;;;;;;;3,25E+06;0;3,25E+06;0;3,25E+06;0;;;;;;;;;;;;;;
;;;;;;;3,36E+06;0;3,36E+06;0;3,36E+06;0;;;;;;;;;;;;;;
;;;;;;;3,57E+06;0;3,57E+06;0;3,57E+06;0;;;;;;;;;;;;;;
;;;;;;;3,78E+06;0;3,78E+06;0;3,78E+06;0;;;;;;;;;;;;;;
;;;;;;;3,99E+06;0;3,99E+06;0;3,99E+06;0;;;;;;;;;;;;;;
;;;;;;;4,19E+06;0;4,19E+06;0;4,19E+06;0;;;;;;;;;;;;;;
;;;;;;;4,40E+06;0;4,40E+06;0;4,40E+06;0;;;;;;;;;;;;;;
;;;;;;;4,61E+06;0;4,61E+06;0;4,61E+06;0;;;;;;;;;;;;;;
;;;;;;;4,82E+06;0;4,82E+06;0;4,82E+06;0;;;;;;;;;;;;;;
;;;;;;;5,03E+06;0;5,03E+06;0;5,03E+06;0;;;;;;;;;;;;;;
;;;;;;;5,24E+06;0;5,24E+06;0;5,24E+06;0;;;;;;;;;;;;;;
;;;;;;;5,45E+06;0;5,45E+06;0;5,45E+06;0;;;;;;;;;;;;;;
;;;;;;;5,66E+06;0;5,66E+06;0;5,66E+06;0;;;;;;;;;;;;;;
;;;;;;;5,87E+06;0;5,87E+06;0;5,87E+06;0;;;;;;;;;;;;;;
;;;;;;;6,08E+06;0;6,08E+06;0;6,08E+06;0;;;;;;;;;;;;;;
;;;;;;;6,29E+06;0;6,29E+06;0;6,29E+06;0;;;;;;;;;;;;;;
;;;;;;;6,50E+06;0;6,50E+06;0;6,50E+06;0;;;;;;;;;;;;;;
;;;;;;;6,71E+06;0;6,71E+06;0;6,71E+06;0;;;;;;;;;;;;;;
;;;;;;;7,13E+06;0;7,13E+06;0;7,13E+06;0;;;;;;;;;;;;;;
;;;;;;;7,55E+06;0;7,55E+06;0;7,55E+06;0;;;;;;;;;;;;;;
;;;;;;;7,97E+06;0;7,97E+06;0;7,97E+06;0;;;;;;;;;;;;;;
;;;;;;;8,39E+06;0;8,39E+06;0;8,39E+06;0;;;;;;;;;;;;;;
;;;;;;;8,81E+06;0;8,81E+06;0;8,81E+06;0;;;;;;;;;;;;;;
;;;;;;;9,23E+06;0;9,23E+06;0;9,23E+06;0;;;;;;;;;;;;;;
;;;;;;;9,65E+06;0;9,65E+06;0;9,65E+06;0;;;;;;;;;;;;;;
;;;;;;;1,01E+07;0;1,01E+07;0;1,01E+07;0;;;;;;;;;;;;;;
;;;;;;;1,05E+07;0;1,05E+07;0;1,05E+07;0;;;;;;;;;;;;;;
;;;;;;;1,09E+07;0;1,09E+07;0;1,09E+07;0;;;;;;;;;;;;;;
;;;;;;;1,13E+07;0;1,13E+07;0;1,13E+07;0;;;;;;;;;;;;;;
;;;;;;;1,17E+07;0;1,17E+07;0;1,17E+07;0;;;;;;;;;;;;;;
;;;;;;;1,22E+07;0;1,22E+07;0;1,22E+07;0;;;;;;;;;;;;;;
;;;;;;;1,26E+07;0;1,26E+07;0;1,26E+07;0;;;;;;;;;;;;;;
;;;;;;;1,30E+07;0;1,30E+07;0;1,30E+07;0;;;;;;;;;;;;;;
;;;;;;;1,34E+07;0;1,34E+07;0;1,34E+07;0;;;;;;;;;;;;;;
;;;;;;;1,43E+07;0;1,43E+07;0;1,43E+07;0;;;;;;;;;;;;;;
;;;;;;;1,51E+07;0;1,51E+07;0;1,51E+07;0;;;;;;;;;;;;;;
;;;;;;;1,59E+07;0;1,59E+07;0;1,59E+07;0;;;;;;;;;;;;;;
;;;;;;;1,68E+07;0;1,68E+07;0;1,68E+07;0;;;;;;;;;;;;;;
;;;;;;;1,76E+07;0;1,76E+07;0;1,76E+07;0;;;;;;;;;;;;;;
;;;;;;;1,85E+07;0;1,85E+07;0;1,85E+07;0;;;;;;;;;;;;;;
;;;;;;;1,93E+07;0;1,93E+07;0;1,93E+07;0;;;;;;;;;;;;;;
;;;;;;;2,01E+07;0;2,01E+07;0;2,01E+07;0;;;;;;;;;;;;;;
;;;;;;;2,10E+07;0;2,10E+07;0;2,10E+07;0;;;;;;;;;;;;;;
;;;;;;;2,18E+07;0;2,18E+07;0;2,18E+07;0;;;;;;;;;;;;;;
;;;;;;;2,27E+07;0;2,27E+07;0;2,27E+07;0;;;;;;;;;;;;;;
;;;;;;;2,35E+07;0;2,35E+07;0;2,35E+07;0;;;;;;;;;;;;;;
;;;;;;;2,43E+07;0;2,43E+07;0;2,43E+07;0;;;;;;;;;;;;;;
;;;;;;;2,52E+07;0;2,52E+07;0;2,52E+07;0;;;;;;;;;;;;;;
;;;;;;;2,60E+07;0;2,60E+07;0;2,60E+07;0;;;;;;;;;;;;;;
;;;;;;;2,68E+07;0;2,68E+07;0;2,68E+07;0;;;;;;;;;;;;;;
;;;;;;;2,85E+07;0;2,85E+07;0;2,85E+07;0;;;;;;;;;;;;;;
;;;;;;;3,02E+07;0;3,02E+07;0;3,02E+07;0;;;;;;;;;;;;;;
;;;;;;;3,19E+07;0;3,19E+07;0;3,19E+07;0;;;;;;;;;;;;;;
;;;;;;;3,36E+07;0;3,36E+07;0;3,36E+07;0;;;;;;;;;;;;;;
;;;;;;;3,52E+07;0;3,52E+07;0;3,52E+07;0;;;;;;;;;;;;;;
